id,review_text,risk,complaint_type
R0001,I waited before writing this review. order 78834: I have repeated the same issue to three agents for my smart watch. the answer does not address my problem.,medium,service_failure
R0002,Order 62379: The promised two day shipping did not happen for my printer ink. please tell me where it is.,medium,delivery_delay
R0003,Order 87100: The courier marked it delivered but nothing arrived for my kitchen scale. I may cancel the order.,medium,delivery_delay
R0004,Order 54050: The adapter sparked when I plugged it in for my laptop adapter. other buyers should be warned. I do not want an automated reply.,high,counterfeit_or_safety
R0005,"I usually like this store, but order 43114: Great product and fast delivery for my yoga mat. overall acceptable. I am mostly leaving feedback for improvement.",low,minor_negative_or_no_complaint
R0006,Order 64634: Works as expected for my notebook. happy with the purchase.,low,minor_negative_or_no_complaint
R0007,Order 68977: I asked for a refund three times and nobody replied for my gaming headset. this feels fraudulent.,high,refund_dispute
R0008,"Order 68010: The promised two day shipping did not happen for my birthday gift. please tell me where it is. It is fixable, but I need a concrete answer.",medium,delivery_delay
R0009,Order 96414: Works as expected for my notebook. I will keep it.,low,minor_negative_or_no_complaint
R0010,Order 95445: The promised two day shipping did not happen for my printer ink. please tell me where it is.,medium,delivery_delay
R0011,Order 79139: Great product and fast delivery for my yoga mat. overall acceptable.,low,minor_negative_or_no_complaint
R0012,"Maybe this is a courier issue, but order 70387: The chat agent ended the conversation before solving it for my vacuum cleaner. please escalate to a human. The product itself is otherwise fine.",medium,service_failure
R0013,Order 26598: The screen has scratches although it was sold as new for my tablet case. I cannot use it as delivered. Please do not send another generic template.,medium,damaged_or_wrong_item
R0014,Order 77531: I asked for a refnd three times and nobody replied for my gaming headset. I need this escalated today.,high,refund_dispute
R0015,Order 72578: The seller refused my refund after the item failed for my phone charger. I need this escalated today.,high,refund_dispute
R0016,This is my second order from you. order 38908: The refund status has been pending for weeks for my gaming headset. I need this escalated today.,high,refund_dispute
R0017,Order 94739: The adapter sparked when I plugged it in for my power bank. I want the listing investigated. I do not want an automated reply.,high,counterfeit_or_safety
R0018,Order 29925: The box arrived crushed and the item was cracked for my tablet case. I cannot use it as delivered. I can wait if someone gives me a clear update.,medium,damaged_or_wrong_item
R0019,"Not sure who is responsible, but order 73440: The courier marked it delivered but nothing arrived for my school bag. I may cancel the order. Please do not send another generic template. The product itself is otherwise fine.",medium,delivery_delay
R0020,Order 36803: I asked for a refund three times and nobody replied for my gaming headset. I may file a chargeback.,high,refund_dispute
R0021,This is my second order from you. order 90842: The seller refused my refund after the item failed for my gaming headset. I need this escalated today. The product itself is otherwise fine.,high,refund_dispute
R0022,Order 83780: Works as expected for my water bottle. not a big issue. I am mostly leaving feedback for improvement.,low,minor_negative_or_no_complaint
R0023,Order 48748: Customer service keeps sending copy paste replies for my wireless mouse. I am frustrated.,medium,service_failure
R0024,Order 38304: I have repeated the same issue to three agents for my vacuum cleaner. the answer does not address my problem. I can wait if someone gives me a clear update.,medium,service_failure
R0025,"I usually like this store, but order 40544: The product looks fake and the serial number is invalid for my power bank. this may be unsafe.",high,counterfeit_or_safety
R0026,Order 66090: It is okay for the price for my yoga mat. I will keep it.,low,minor_negative_or_no_complaint
R0027,"I usually like this store, but order 30828: The color is slightly different but the product works for my notebook. happy with the purchase. This is not urgent.",low,minor_negative_or_no_complaint
R0028,"Not sure who is responsible, but order 24510: The packaging could be better for my phone stand. not a big issue. I am mostly leaving feedback for improvement.",low,minor_negative_or_no_complaint
R0029,"Maybe this is a courier issue, but order 36248: The refnd status has been pending for weeks for my running shoes. I need this escalated today. This may affect whether I buy again.",high,refund_dispute
R0030,Order 80928: I have repeated the same issue to three agents for my bookshelf. please escalate to a human. The product itself is otherwise fine.,medium,service_failure
R0031,Order 36578: The color is slightly different but the product works for my water bottle. not a big issue.,low,minor_negative_or_no_complaint
R0032,Order 39574: The product looks fake and the serial number is invalid for my power bank. I want the listing investigated. This may affect whether I buy again.,high,counterfeit_or_safety
R0033,"Order 99573: I have repeated the same issue to three agents for my vacuum cleaner. I am frustrated. It is fixable, but I need a concrete answer.",medium,service_failure
R0034,Order 96713: The screen has scratches although it was sold as new for my winter jacket. I need a replacment.,medium,damaged_or_wrong_item
R0035,Order 65941: The color is slightly different but the product works for my notebook. happy with the purchase. I am mostly leaving feedback for improvement.,low,minor_negative_or_no_complaint
R0036,Order 62248: I was charged twice and support keeps closing the ticket for my coffee machine. I need this escalated today. Please have a real person check this.,high,refund_dispute
R0037,Order 26452: The courier marked it delivered but nothing arrived for my printer ink. please tell me where it is.,medium,delivery_delay
R0038,Order 61734: It is okay for the price for my notebook. not a big issue. This is not urgent.,low,minor_negative_or_no_complaint
R0039,Order 98363: The color is slightly different but the product works for my yoga mat. happy with the purchase.,low,minor_negative_or_no_complaint
R0040,"Maybe this is a courier issue, but order 40254: The trackng page has not moved since last week for my birthday gift. I needed it this week. The product itself is otherwise fine.",medium,delivery_delay
R0041,"Not sure who is responsible, but order 65116: Support promised a callback but never called for my vacuum cleaner. I am frustrated.",medium,service_failure
R0042,Order 12726: I asked for a refund three times and nobody replied for my gaming headset. this feels fraudulent. The product itself is otherwise fine.,high,refund_dispute
R0043,Order 48786: The label is different from the listing and may be counterfeit for my skin cream. I want the listing investigated. The product itself is otherwise fine.,high,counterfeit_or_safety
R0044,Order 75219: I was charged twice and suport keeps closing the ticket for my gaming headset. I may file a chargeback. Please have a real person check this.,high,refund_dispute
R0045,I waited before writing this review. order 91805: The packaging could be better for my water bottle. I will keep it. This is not urgent.,low,minor_negative_or_no_complaint
R0046,Order 37449: I have repeated the same issue to three agents for my wireless mouse. please escalate to a human. The product itself is otherwise fine.,medium,service_failure
R0047,Order 15560: The courier marked it delivered but nothing arrived for my kitchen scale. please tell me where it is.,medium,delivery_delay
R0048,Order 56887: I ordered a black medium but received a white small for my tablet case. I need a replacement.,medium,damaged_or_wrong_item
R0049,Order 27941: I was charged twice and support keeps closing the ticket for my gaming headset. I need this escalated today.,high,refund_dispute
R0050,Order 90509: The product looks fake and the serial number is invalid for my baby monitor. this may be unsafe. Please have a real person check this. The product itself is otherwise fine.,high,counterfeit_or_safety
R0051,Order 41494: The product looks fake and the serial number is invalid for my power bank. other buyers should be warned. This may affect whether I buy again.,high,counterfeit_or_safety
R0052,Order 84553: It is okay for the price for my notebook. I will keep it. I am mostly leaving feedback for improvement.,low,minor_negative_or_no_complaint
R0053,This is my second order from you. order 42034: The chat agent ended the conversation before solving it for my vacuum cleaner. please escalate to a human. I can wait if someone gives me a clear update.,medium,service_failure
R0054,Order 86457: Support promised a callback but never called for my vacuum cleaner. please escalate to a human. Please do not send another generic template.,medium,service_failure
R0055,Order 50921: I asked for a refund three times and nobody replied for my coffee machine. I need this escalated today. The product itself is otherwise fine.,high,refund_dispute
R0056,Order 43819: The tracking page has not moved since last week for my printer ink. I needed it this week. I can wait if someone gives me a clear update.,medium,delivery_delay
R0057,Order 30030: I was charged twice and support keeps closing the ticket for my gaming headset. I may file a chargeback. This may affect whether I buy again.,high,refund_dispute
R0058,Order 15619: I have repeated the same issue to three agents for my smart watch. the answer does not address my problem.,medium,service_failure
R0059,Order 35458: Works as expected for my phone stand. overall acceptable.,low,minor_negative_or_no_complaint
R0060,"Maybe this is a courier issue, but order 34363: It is okay for the price for my water bottle. I will keep it.",low,minor_negative_or_no_complaint
R0061,Order 96542: I have repeated the same issue to three agents for my smart watch. please escalate to a human. I can wait if someone gives me a clear update.,medium,service_failure
R0062,This is my second order from you. order 16135: The adapter sparked when I plugged it in for my baby monitor. this may be unsafe. Please have a real person check this.,high,counterfeit_or_safety
R0063,"Not sure who is responsible, but order 37573: The label is different from the listing and may be counterfeit for my skin cream. other buyers should be warned.",high,counterfeit_or_safety
R0064,Order 70806: Shipping was a little slow but the item arrived fine for my notebook. happy with the purchase.,low,minor_negative_or_no_complaint
R0065,Order 12762: The promised two day shipping did not happen for my birthday gift. please tell me where it is. I can wait if someone gives me a clear update.,medium,delivery_delay
R0066,Order 14689: The package was missing parts for my desk lamp. I cannot use it as delivered.,medium,damaged_or_wrong_item
R0067,"Maybe this is a courier issue, but order 98181: I ordered a black medium but received a white small for my tablet case. please send the correct item. It is fixable, but I need a concrete answer.",medium,damaged_or_wrong_item
R0068,This is my second order from you. order 74501: I asked for a refund three times and nobody replied for my phone charger. I need this escalated today.,high,refund_dispute
R0069,Order 40674: The adapter sparked when I plugged it in for my skin cream. other buyers should be warned. Please have a real person check this. The product itself is otherwise fine.,high,counterfeit_or_safety
R0070,"I usually like this store, but order 81920: The adapter sparked when I plugged it in for my laptop adapter. I want the listing investigated.",high,counterfeit_or_safety
R0071,I waited before writing this review. order 35115: Works as expected for my yoga mat. not a big issue.,low,minor_negative_or_no_complaint
R0072,Order 83112: Great product and fast delivery for my phone stand. happy with the purchase. No need to replace it unless this happens again.,low,minor_negative_or_no_complaint
R0073,Order 43584: It is okay for the price for my water bottle. happy with the purchase.,low,minor_negative_or_no_complaint
R0074,This is my second order from you. order 93149: I asked for a refund three times and nobody replied for my coffee machine. I may file a chargeback.,high,refund_dispute
R0075,Order 52472: The courier marked it delivered but nothing arrived for my birthday gift. please tell me where it is. The product itself is otherwise fine.,medium,delivery_delay
R0076,I waited before writing this review. order 23053: It is okay for the price for my yoga mat. I will keep it. This is not urgent.,low,minor_negative_or_no_complaint
R0077,Order 26368: The seller refused my refund after the item failed for my gaming headset. this feels fraudulent. The product itself is otherwise fine.,high,refund_dispute
R0078,"Order 78331: Customer service keeps sending copy paste replies for my smart watch. I am frustrated. It is fixable, but I need a concrete answer.",medium,service_failure
R0079,This is my second order from you. order 61274: Support promised a callback but never called for my smart watch. please escalate to a human. I can wait if someone gives me a clear update.,medium,service_failure
R0080,Order 19145: The promised two day shipping did not happen for my kitchen scale. please tell me where it is. The product itself is otherwise fine.,medium,delivery_delay
R0081,Order 96723: Shipping was a little slow but the item arrived fine for my yoga mat. overall acceptable. I am mostly leaving feedback for improvement.,low,minor_negative_or_no_complaint
R0082,Order 59610: The battery overheated after one use for my power bank. I want the listing investigated.,high,counterfeit_or_safety
R0083,"Not sure who is responsible, but order 92299: I was charged twice and support keeps closing the ticket for my phone charger. this feels fraudulent. I do not want an automated reply.",high,refund_dispute
R0084,Order 33023: The courier marked it delivered but nothing arrived for my birthday gift. please tell me where it is. Please do not send another generic template.,medium,delivery_delay
R0085,I waited before writing this review. order 78931: I asked for a refund three times and nobody replied for my coffee machine. I need this escalated today. Please have a real person check this.,high,refund_dispute
R0086,"Not sure who is responsible, but order 68928: The box arrived crushed and the item was cracked for my air fryer. I need a replacment. I can wait if someone gives me a clear update.",medium,damaged_or_wrong_item
R0087,I waited before writing this review. order 94385: The adapter sparked when I plugged it in for my baby monitor. I want the listing investigated.,high,counterfeit_or_safety
R0088,Order 12132: Works as expected for my phone stand. overall acceptable. No need to replace it unless this happens again.,low,minor_negative_or_no_complaint
R0089,"Not sure who is responsible, but order 20476: The courier marked it delivered but nothing arrived for my printer ink. please tell me where it is. The product itself is otherwise fine.",medium,delivery_delay
R0090,Order 37239: The tracking page has not moved since last week for my school bag. I may cancel the order. The product itself is otherwise fine.,medium,delivery_delay
R0091,"Not sure who is responsible, but order 14081: The promised two day shipping did not happen for my birthday gift. I may cancel the order. I can wait if someone gives me a clear update. The product itself is otherwise fine.",medium,delivery_delay
R0092,"Maybe this is a courier issue, but order 37225: The courier marked it delivered but nothing arrived for my kitchen scale. I may cancel the order.",medium,delivery_delay
R0093,"Not sure who is responsible, but order 73510: The box arrived crushed and the item was cracked for my winter jacket. please send the correct item.",medium,damaged_or_wrong_item
R0094,Order 19164: The courier marked it delivered but nothing arrived for my school bag. I needed it this week.,medium,delivery_delay
R0095,Order 42860: The chat agent ended the conversation before solving it for my vacuum cleaner. the answer does not address my problem. Please do not send another generic template.,medium,service_failure
R0096,Order 83302: The tracking page has not moved since last week for my birthday gift. I needed it this week.,medium,delivery_delay
R0097,"Not sure who is responsible, but order 14331: Customer service keeps sending copy paste replies for my smart watch. the answer does not address my problem.",medium,service_failure
R0098,"Order 21333: Delivery is five days late with no useful update for my printer ink. I may cancel the order. It is fixable, but I need a concrete answer.",medium,delivery_delay
R0099,This is my second order from you. order 85949: The screen has scratches although it was sold as new for my air fryer. I need a replacment.,medium,damaged_or_wrong_item
R0100,"Not sure who is responsible, but order 26017: I have repeated the same issue to three agents for my smart watch. I am frustrated. The product itself is otherwise fine.",medium,service_failure
R0101,Order 53032: The screen has scratches although it was sold as new for my air fryer. I cannot use it as delivered. Please do not send another generic template.,medium,damaged_or_wrong_item
R0102,Order 10011: I asked for a refnd three times and nobody replied for my running shoes. I need this escalated today. The product itself is otherwise fine.,high,refund_dispute
R0103,Order 84381: I have repeated the same issue to three agents for my smart watch. I am frustrated.,medium,service_failure
R0104,Order 78600: I was charged twice and suport keeps closing the ticket for my phone charger. this feels fraudulent.,high,refund_dispute
R0105,Order 91129: I was charged twice and suport keeps closing the ticket for my gaming headset. this feels fraudulent. This may affect whether I buy again.,high,refund_dispute
R0106,Order 88354: I asked for a refnd three times and nobody replied for my phone charger. I need this escalated today. The product itself is otherwise fine.,high,refund_dispute
R0107,This is my second order from you. order 74379: I asked for a refund three times and nobody replied for my phone charger. I need this escalated today.,high,refund_dispute
R0108,Order 91718: I was charged twice and support keeps closing the ticket for my gaming headset. I may file a chargeback.,high,refund_dispute
R0109,Order 18166: The seller refused my refund after the item failed for my coffee machine. I need this escalated today. Please have a real person check this. The product itself is otherwise fine.,high,refund_dispute
